Pais,Provincia,Distrito,Administrativo,Localidade
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Malhangalene "" B"""
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,Sommerchild
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,Coop
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Polana C. "" A """
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Malhangalene "" A"""
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Alto - Mae ""B"""
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Central "" C """
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Central "" B """
Mocambique,Maputo Cidade,Municipal Kanpfumo,Municipal Kanpfumo,"Polana C."" B """
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,Unidade 7
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,Xipamanine
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,Munhuana
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,Minkadjuine
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,"Chamanculo "" D """
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,"Chamanculo "" C """
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,"Chamanculo  "" B """
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,"Chamanculo  "" A """
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,Malanga
Mocambique,Maputo Cidade,Municipal Kahlamankulo,Municipal Kahlamankulo,"Aeroporto "" A """
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,Mafalala
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,Urbanizacao
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Maxaquene"" A"""
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Maxaquene  "" B"""
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Maxaquene "" C """
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Maxaquene "" D """
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Polana Canico "" B """
Mocambique,Maputo Cidade,Municipal Kamaxaquene,Municipal Kamaxaquene,"Polana Canico "" A """
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Costa Do Sol
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Albasine
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Mahotas
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Laulane
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Ferroviario
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,"Hulene "" B """
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,"Hulene "" A """
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,Fplm
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,"Mavalane "" B """
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,"Mavalane "" A"""
Mocambique,Maputo Cidade,Municipal Kamavota,Municipal Kamavota,3 De Fevereiro
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"25 De Junho ""B"""
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"Magoanine "" B """
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Luis Cabral
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Jardim
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"Inhagoia "" A"""
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"Inhagoia "" B"""
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Nsalene
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"25 De Junho "" A"""
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Bagamoyo
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,George Dimitrov
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"Magoanine "" A """
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,"Magoanine "" C """
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Zimpeto
Mocambique,Maputo Cidade,Municipal Kamubukuane,Municipal Kamubukuane,Malhazine
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Chali
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Guachene
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Ncassane
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Inguide
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Mutsekwa
Mocambique,Maputo Cidade,Municipal De Katembe,Municipal Katembe,Chamissava
Mocambique,Maputo Cidade,Municipal Kanyaka,Municipal Kanyaka,Inguane
Mocambique,Maputo Cidade,Municipal Kanyaka,Municipal Kanyaka,Kanyaka
Mocambique,Maputo Cidade,Municipal Kanyaka,Municipal Kanyaka,Ncalane
Mocambique,Maputo Cidade,Municipal Kanyaka,Municipal Kanyaka,Malhangalene
Mocambique,Maputo Cidade,Municipal Kanyaka,Municipal Kanyaka,Mandende
Mocambique,Maputo Provincia,Cidade Da Matola,Matola-Sede,Matola-Sede
Mocambique,Maputo Provincia,Cidade Da Matola,Machava,Machava
Mocambique,Maputo Provincia,Cidade Da Matola,Infulene,Infulene
Mocambique,Maputo Provincia,Boane,Boane-Sede,Ed. Mdlane
Mocambique,Maputo Provincia,Boane,Boane-Sede,Gueguegue
Mocambique,Maputo Provincia,Boane,Matola Rio,Matola Rio
Mocambique,Maputo Provincia,Magude,Magude-Sede,Mulelemane
Mocambique,Maputo Provincia,Magude,Magude-Sede,Moine
Mocambique,Maputo Provincia,Magude,Magude-Sede,Maguiguane
Mocambique,Maputo Provincia,Magude,Magude-Sede,Macubulane
Mocambique,Maputo Provincia,Magude,Magude-Sede,Chichuco
Mocambique,Maputo Provincia,Magude,Magude-Sede,Matchabe
Mocambique,Maputo Provincia,Magude,Magude-Sede,Inhongane
Mocambique,Maputo Provincia,Magude,Mahele,Chicutso
Mocambique,Maputo Provincia,Magude,Mahele,Mahele-Sede
Mocambique,Maputo Provincia,Magude,Mapulanguene,Matsandzane
Mocambique,Maputo Provincia,Magude,Mapulanguene,Captine
